知乎作者,作者id,回答时间,赞同数,底下评论数,回答内容
眼周抗衰柴博士,871556eef10fb7bffa1efad80fa742a2,2021-08-11 12:02:38,1,0,我觉得像演的，为了表达出腾讯跟阿里“很不一样”的态度和企业风气。踩着阿里站上道德高地，借机树立企业形象。巧妙的是，腾讯这波是“借着”实习生的口说出了腾讯高管想要让大众听到的话术，间接地起到了公关作用，即使明眼人都能看出来：是演的，首先实习生怎么可能跟老总对话（说不定也是间接说明鹅厂上下级沟通渠道畅通无阻？显示鹅厂良好的企业风气？）；其次这种内部沟通的截图如果不是内部人员准备好了之后发出去的一般是不可能让外界的人看到的。不过话虽这么说，年轻人杜绝不良酒局文化的这种精神是值得推崇的，我知道这是演的，但是演的好。
知乎用户,9373582403189c9a7206553d80710f54,2021-08-11 10:44:16,1,8,腾讯之前的“口开瓶盖”，可都是无声无息的被压下去了。现在腾讯站出来，看起来是踩阿里巴巴一脚，实际上就是在玩儿火，最终引火烧身。天下乌鸦一般黑，谁又比谁干净呢。
烽火连城,d2db3440d3b92d4a48e9de7100aa2c4e,2021-08-11 13:36:54,0,0,初生牛犊不怕虎啊希望孩子没事，不过实习生也没啥的，再跳嘛。他领导内部回复他，感觉就是我知道了，你继续做事吧。他再给麻花疼发，人家正忙着借鉴和数钱，哪有功夫理你。最后爆出来这些图，说明孩子还太年轻啊。不知道是一腔热血还是出名心切。归根结底是没看透资本的本质。如果有人发一个：建议腾讯拒绝借鉴其他游戏，努力做原创的建议，那可太有趣了。
系领带的水杉,614b26f45568c10c46f94c258ff0dfdf,2021-08-11 12:41:33,1,0,我替平叔翻译翻译，回复的是啥意思狗头狗头“谢谢你的建议”：小弟弟，你的消息我收到了“我们跟阿里还是很不一样的”：别拿别人的事找我对号入座，阿里的事跟我毛关系没有，要求我做什么，要你到我这里教育我“但是还是要不断将强调我们队任何形式性骚扰的零容忍态度”：既然回复你了，那我给你个面子，我对这件事跟你一样想法，我没有，而且也不会去做性骚扰的事情“我会把你的建议发给”：这件事你该找，找我有啥用，我是管事又不管人，我会把你的建议发给，包括你的工号“因为他们在执行有关的措施”：人力部对这件事比你启动的早，不用你操心，手头工作不饱和吗手动分割线提建议是好的，但是这么强硬的语态有一种要求的感觉谁会要求一个人做一件事情呢，长辈，领导或者老师，反而现在是实习生要求董事长要做一件事，而且跟平叔八竿子打不着，未对这个实习生有影响，是一个建议性的事情然后还要拉其他实习生联（）名（），不知道是不是有些越俎代庖，而且话里有一种逼迫，威胁的感觉，难道是想要展现良好的“组织能力”吗还用了“反思”两个字，平叔犯错了吗？还要反思？自己回头看看自己写的东西，自己先反思一下呗最后还要截图发出来，是要表彰自己的大义凛然吗，还是以一个实习生身份，“督促”或者说逼迫他们回复并且发声？整个事看完就有一种学校里总有个欠欠的学生出来得瑟的感觉
武子alex,6c85c6057c28720768f319f6650ea1e7,2021-08-11 13:36:41,0,0,红颜，其原始本意为年轻红润姣好的面容脸色，后引申为处于青春妙龄、百媚千娇的绝色美女，如红颜祸水，红颜薄命，冲冠一奴为红颜等。红颜美女，在中国漫长悠久的历史岁月中，可谓佳人辈出，甚至进而影响历史进程的红颜美女，也不乏其人，大有人在，如妲己、吕雉、西施、王嫱、武则天、杨玉环、萧太后、赵飞燕、貂禅、吴圆圆、孝庄皇后、慈禧太后等等。视红颜为祸水，在中国古代的伪道学家们眼中，对红颜美女，向来抱着一种矛盾复杂的心态，其根底深处，却是对红颜美女充满了恐惧敌视，视红颜为祸水之源，为灾难之源，时常将男性夫君自身的失误、失败，一股脑地转嫁到红颜们的粉头上，脱了自身的干系，落得一身轻松。若说红颜与祸水完全无关，也不符合历史事实，中国历史上也却有那么几位红颜，曾酿成了几股民族灾难祸水的泛滥，给民族、百姓带来了深重的灾难。如吕雉、慈禧等。封建社会时代，受儒家三从四德、三纲五常伦理道德的影响，女性社会地位一直极其低下，为男性的从属品。孔子曾谆谆教导弟子们：“惟女人与小人难养也。近之则不逊，远之则怨。”在历代皇帝眼中，红颜美人始终排在江山社稷之后，拥有了之高无上的皇权，也就自然拥有了天下的红颜美女，这样浅显的道理，绝大多数皇帝们都是心领神会的。当然，中国历史上也出现过那么几位只要美人，不要江山的风流多情皇帝。绝大多数保持理性的皇帝、英雄豪杰们，在一些事关江山与美女的重大人生抉择关头，通常会毫不迟疑地扑向皇权，伸腿将红颜美女们踢下万丈深渊。从新月老公的角度考虑，娶美女做老婆到底是祸还是福呢？
小马学长,aa0895972c6b1ad2ec11ddc063225e35,2021-08-11 17:41:00,1,0,实习生“硬核喊话”，马化腾：立刻颁布“拒绝陪酒”令仗义执言蓄意炒作？一看便知。
范无病,8e74c4ed8906940f1619f812d3411c25,2021-08-11 19:42:41,0,1,我忘了谁说过一句话，进公司半年内不要发表意见。
知幾,f9b66a6fd3160b7c2dabe51cad4edb49,2021-08-11 18:55:08,0,1,这有啥看的，这明白的就是秀操作啊。你一个实习生，从逻辑上说压根就不算腾讯的人，即使是腾讯的人，这样的大公司，也不时兴“越级上报”吧？正所谓，名不正，则言不顺；言不顺，则事不成。一个实习生，名不正，即使说的再有道理，最后也是沐猴而冠啊。人家不搭理你那就是对了。正因为如此，还不加思考发出来，甚至流传到外网，明显就是“黑铁”强行针对“王者”秀操作啊。把人家当作背景板，意图强行上位。很明显是上大学时候，看网络小说太多了，认知产生混乱，毕竟网络小说上，这样装逼强上的主角比比皆是啊。这样的所谓小白文，至少从这个事件中，看到明显一部分青少年受到了毒害。都开始自以为自己就”地球“的主角了。我不得不说问你一句，小哥，你有金手指吗？就敢如此装逼？一般到一个公司进行实习，其实如果表现好的话，其实还是有一定几率留在这个公司的。你这样一番操作之下，你觉得你还有机会？？
黑芒,af7020d45785b7fda8007f4a9bddf530,2021-08-11 08:44:38,8,9,看到很多人说这是家里有钱接受西方教育后水土不服，说这是家里有钱就能为所欲为，不逾矩，说这是自我营销。请多来一点这样的水土不服，这样的为所欲为，不逾矩，多来点这样的自我营销。
miao君,5f254fbf03673cfaabdbc3e2d024d77a,2021-08-13 09:09:23,1,0,务必回复小马哥就问你们一句，你们敢和大这么说话吗？反正我不敢，我怂很多职场人被习惯了，所以觉得下级就应该对上级俯首帖耳，哪怕发个消息也得畏首畏尾的整理措辞，否则就是不守规矩、没情商，这就是典型的被“”后的结果。我觉得直面领导，敢于提出问题的这种员工精神是值得肯定的但是中国的历史文化及积淀是无法抹去的，中国自古以来就被称之为礼仪之邦，人情往来渗透于人们社会关系的方方面面，也常常被当作一种有形的或者无形的资源进行互换。以长者尊，提出建议固然是好的，但也要相对的注意说话方式。女性的话题自当代以来就没有停止过，其中既包括褒义和积极性，也包括不被重视时所产生的冲击力和批判性。“女权主义的理论千头万绪，归根结底就是一句话：在全人类实现男女平等。而在阿里事件中“女性”却被当作礼物“送”出去。希望此次事件之后，能够将女权主义再向前推进一大步，而不是被埋没在这个互联网时代。
陈曦,6751537463d1293eaeac86a8b558b0f6,2021-08-11 18:35:20,3,0,诚然，这个实习生的建议中，语气，表述，礼貌等等都有很多不好的地方。无论他是想炒作还是怎样，但他确实有为这个事情做出了行动。对比一下沉默的大多数人，我觉得他的行为还是值得肯定的吧。这个问题下面，有些人喜欢站在制高点上批评这个实习生，说他怎样怎样不好。想知道如此会说话，会提建议的你，有为反性骚扰这个问题做出过什么实际行动吗？
青阳真人王青阳,5469afd3bd4befac56fda5533a4239c3,2021-08-11 12:30:19,0,0,趁你病，要你命，腾讯捅刀可以的。这招呀，伤害不强，侮辱性极大，就是冲着阿里去的。
图图大耳朵,ca3139e368bdd2255cc7423c3dae5ddc,2021-08-11 19:04:33,21,1,好多人还觉得有他这样的人也挺好，也是提了个好意见。我就直说了吧，如果你遇到这种二代，你会更希望他整天花天酒地啥也不管，而不是跟你一起上班。我给大家讲个故事大家就明白了。我以前在某大国企从事的是一个危险程度相对比较高的行业，各级领导安全压力都很大。既要完成任务，又要保安全，一旦出人员伤亡，就要有人被撸掉。这种情况就衍生出了很多复杂的安全条例，各级都遵从安全条例，但是有一天一个车间来了个公子哥，听说是某兄弟集团二把手的儿子，这位公子哥并不游手好闲，而是干劲十足，来的第一周就搞了个简化生产程序提高效率的试验。说白了就是省掉一些检查步骤，加一些没有论证的传感器代替人工检查。试验很成功，生产速度提高了两成，于是他自己将该试验项目被直接报到研发部门一把手。好嘛，这之后又是搞示范现场会，又是搞经验总结汇报，然后这位公子哥职位挂在车间，人就跑到研发部门借调去了。就这样，这这位公子既出了大成绩，又挂了一年基层经验，很快就高升了，现在大概已经到中层了。只不过他走后，大家还是回归了原来的老方法，他的实验还是个实验。没人敢为他的这个实验流程的安全性负责，他自己也没有再推动这个实验流程的完善，或许是大家都知道，省去的一些步骤迟早是会出问题的。但是只要是在他出成绩的那段时间不出问题就行。这种情况，你能拿他怎么办？你要是当时拦着他，他说你故步自封、不思进取，你要是举报他，你拿什么举报他？他做错啥了？有人说万一真就那么凑巧出了问题怎么办？哦，换一家单位接着搞就行了。明白了吗？哦，对了，当他上位之后，他还会把这个事迹当成自己的光辉历史时常讲起，以证明自己完全是凭本事上来的，他每一步升迁都有相应的成绩作为基础。至于你为什么竞争不过他，人家说了：”你们就是不敢想、不敢干，没有闯劲。“
温水,3c526e51aa6cb086925ccf05e0948b2b,2021-08-11 10:08:26,41,4,印度向联合国提出否决中国五常席位的请求被中国一票否决
原形,9b3425cf987e0a8e4c51e2bca46e7459,2021-08-11 13:11:05,5,2,哈哈，看了这个实习生给腾讯高层提出的建议，我笑了三分钟停不下来，因为我又发现了一个“大冲宝”这是家乡话，冲字念第四声，就是喜欢出风头的活宝大冲宝这个方言的释义，在老家人的传统认识中，是一无是处的，因为他们代表那种喜欢说大话、说空话、且往往说话不分场合，不怕丑、好出头、喜欢博名位的那一类人。我的文学朋友中就有两个这样的大冲宝，一个诨名“罗部长”，一个诨名“口水佬”。罗部长是一个茶厂工人，是那种爱好文学又毫无文学才华的人，可他总喜欢往政府机关跑，而且专找常委级别的人提建议，书记无法就让宣传部长应付他，久而久之他也学成了部长的派头，因此有了这个诨名。虽然他在我们老家官场无人不知，可最后混成了下岗工人，如今独自一人靠在医院照顾病人为生。而“口水佬”的际遇跟他就是天地之别了。年前，他毕业分在省城一行业报社，专喜欢找的人不是省委书记就是文联主席；八年京城起来了，他跑去声援要食，一个月后回来，人倒胖了，只是嗓子哑了。因为旷工，在单位待不下去，就到广东求职了一份记者工作，因为好出风头不怕丑，后来被推上社会类栏目主持人工作，因为普通话实在糟糕，竟然一炮打红成为了广东大妈眼里最喜欢的“口水佬”，后来又辞职，跟国内城市营销大佬大腕联合，成了珠三角不少官员眼里的“特聘专家”、“经济顾问”，天南海北地飞，而且我发现他朋友圈中晒过的官员大多后来出事提起他，前些年一些老前辈都有些看法，认为他在广东也混不了多久，还说：那真是个典型的大冲宝当然，广东人也有不少同事背后称他“孙大炮”。然而，他偏偏成功了，红了，且红得发紫他的成功就得益于有点真才实学、还很“大冲宝”这样的性格无疑，这位实习生两点都具备了，因此，我相信他能够成功。这不，他已经选择了一个很好的时机、巧妙的手段，哗众取宠，一炮打红。信不信，咱们拭目以待
路人甲,7b004c2b4f9a3215d24debcac6b19ebe,2021-08-11 11:27:17,13,12,一帮自诩成熟，能够挑出一万处文案问题的人，只字不敢提。一个年轻人提出来了，符号也用错了，用词也不够尊敬了，这帮人跳出来各种嘲讽，营销论也出来了。我的观点是，他做的好，易地而处我做不出来，没有这份勇气，可能是我也老了，但我与其他老油条不同的地方是，我看到这种行为的时候，内心里只有自愧不如。希望这些不畏权威的年轻人能多一些。
Miya,bfcab2d97c5bf41f3553534007ef95bc,2021-08-11 14:22:42,1,0,炒作。用词比较急切，还自己截图到处转发。这不是炒作就是焖煮
陈悠然漫闲情,2a093912940a58b5ba06e2f14487d9dd,2021-08-11 08:43:03,3,0,果然，实习生总是能给枯燥的工作带来惊喜实习生直接对话老大，这事按照被社会毒打多年的经验老大装着高深不言不语不表态，见了面还会夸赞小伙子能干，还会给小伙子的直接领导翘大拇指点赞。直接领导一边点头哈腰一边说着：“是是是，我们一定好好培养。”培养几个月后，小伙子穿着小鞋儿，抱着小箱儿离开了公司
老亚当,9a17f77c5dd9c1c266829cf900d9e914,2021-08-11 18:17:44,3,1,如果哪位爷们儿心怀鬼胎让我女儿去陪酒，我会带上绳索，手锯，塑料袋和真空机去蹲他的点儿如果每一位父亲都像我一样多点儿血气去保护自己的女儿，贼人怎会当道建议颁布拒绝陪酒相关条令向禽兽的首领要圣旨，亏你们想得出来，我呸
二民,a1a38a9182d79e08f693ed76cb816887,2021-08-11 12:27:45,1,1,球已经完全踢回给他爹和他爹的公司，天士力。腾讯没有上当，现在，就看天士力怎么解决焦点。有其父必有其子。
tsplow,cb05790e286409975323b7bf183bf7c3,2021-08-11 23:28:29,1,0,超过三个感叹号的中文或，超过一句话的全大写英文，没有看的价值。我以为是常识（脑壳疼的程度超越了本身可能的信息承载量，所以哪怕是有重要价值的比如电子用品权责说明也没必要在用转换成正常英文大小写之前去折腾自己去读。这里是低导致的无价值而非真的内容无价值）而且这还是写给老板的老板的老板的？后续自己公开了带了风向？啧啧啧啧啧啧啧。又见识到了不一样的东西，厉害。爸爸的回复看到了，厉害加一。千万别断更，蹲一个老板怎么回。我可以加二。嗑瓜子。
Xiang,e35d193b0ec03594fda6912bea0c766e,2021-08-10 20:53:04,31,8,很热血，但是这是职场，出这档子事导师要给他背锅的，做人做事要有基本的情商。举个例子，之前也是一个实习生上拍了个工位发到抖音上，结果里面把涉密的电脑屏幕也拍进去了，他的导师在上公开道歉。事情爆了之后，导师昨天晚上八点多了忽然提醒我要注意高压线。笑了隐私消息都脱敏了，别找我谈话（害怕
天天向上,1ea1de881212c0fa07b1dc1f580291bb,2021-08-11 11:36:38,0,0,建议腾讯：全面提高实习生的招聘选用标准，审查对象应掌握的礼仪与规范，尤其加强对背景、动机的审查戏太烂了，能换一出么
tianpei-guo,1d406be34dece83029c669880fff6b62,2021-08-13 11:59:55,0,0,这孩子职业生涯到头了
守护修仙,fef9b906cf02b1bdcad1ce3c2d6da91c,2021-08-11 14:57:57,0,0,怎么会有腾讯的实习生这么没有情商他以为他是谁说话还这么不客气去公司内网匿名发帖也好啊哦他爸是另一家上市公司的副总裁啊，炒作啊那没事了。我们普通人还是看看就算了
林黛玉倒拔垂杨柳,aa3696ee1fa9d797debae9b9e8f82040,2021-08-11 11:43:50,9,9,看完之后我只能说，在鹅厂做实习生真好，可惜你没办法毕业后在鹅厂转正式员工了。首先说，腾讯的组织架构是透明的，在企业微信上，可以找到任何你想联系的人，所以一个实习生可以搜到马化腾和刘炽平，并且给他们留言，至于他们是否回复，则要看情况了。其次，刘炽平回复一个普通员工很正常，我朋友在鹅厂上班的时候，刘炽平就回复过他邮件，当时只是抄送了刘炽平，但没想到刘炽平直接回复了。但前提是，这是当时鹅厂的“主线业务”（优先级很靠前，并且需要密切关注的业务），日常事务在总办管理层的视野范围内。最后，这个事情刘炽平为什么会回复，原因很简单，当前这个节骨眼上，如果不回复，可能有风险。回复了，其实也正好是一个处理类似事情的契机，不论这个留言是实习生发的还是其他资深员工发的，当前刘炽平代表腾讯总办表态，都是合适的。只不过，我还是觉得这个事情并不值得实习生炒作自己，鹅厂几万人，虽然没有阿里那么多人，但公司架构已经非常复杂。一个实习生，越过了几十个层级，给总裁发企业微信留言，这个事情本身是非常禁忌的，公司的各级别很忌讳，各个业务线的管理者也很忌讳。当然因为事情本身带有政治正确的背景，没有人会跳出来指责这个实习生什么，但是大家心里有点芥蒂是必然的。更何况，这个实习生还截图炒作自己，在鹅厂，基本上已经没有职业前景了。去别的公司，估计遇到这样动不动就想给总裁沟通的实习生很头疼。
思想摆渡THINKTIC,297eb83172fdad26ac5a7c4ba94921d5,2021-08-11 11:24:08,2,0,的确，腾讯和阿里不一样。腾讯的生存基石是游戏，像蚂蝗一样勤奋。腾讯，对现实世界的性骚扰可能零容忍，对虚拟世界的性骚扰坚决零设防。阿里的生存基石是搬运，像蚂蚁一样贪婪。阿里，甘为人民的搬运工，货畅其流，按劳取酬。美国作家霍桑说：“善良的人总是把自己说得卑劣。”现实中，邪恶的人，喜欢标榜自己乍现的一点闪光。
gaopeng,69906b7c839c05cae8ad8282771d9266,2021-08-11 23:47:37,0,0,利好茅台否则茅台将会因为某些公司间接散步某些不利于白酒销量的信息而影响全年利润。最终南山必胜客与茅台达成和解，每年喝掉敦敦敦。。。。
厚脂三文鱼,e53161f084800fdc3dfc2b3cc51466f7,2021-08-11 11:06:50,0,0,以正义之名，扯着大旗打着自己的小算盘。踩这种热点，这算是毒营销吧。如果真的是为女性发声，那确实是好事儿，然而实际的东西一点没提，就是各种祈使句。跟自己老子都那么官方，让自己老子管好单位的领导，我真不知道怎么想的。踩着他人的不幸，以正义之名，来谋取利益（这个利益包括名利），这种行为有些怎么说呢，。
路成,365a77e056478a81204ccf44b7702962,2021-08-11 21:29:42,28,2,人啊，一旦跪久了，就以为大地都是用膝盖丈量的。突然间，看到一个冒失又蹦蹦跳跳的鲜活生命闯入，就看不惯了，难受了。于是一群人对这个意外闯入的鲜活生命开始议论纷纷，有些人说，你们看那个傻子，居然不是用膝盖走路，而是用脚，简直滑天下之大稽，哈哈哈哈哈另一些人又说，你们看到那个傻子，他不仅不会用膝盖走路，他的脊椎也和我们不一样，他的尽然是直的，怪胎啊又有人说，你们快来看啊那个傻子在烈日下跳来跳去，难道他不知道阳光是需要敬畏的吗？真是傻子还有人说，这种傻子就该开除球籍，否则他会带坏小孩的
勃列日涅夫,655df61b1ed1fa50c556c13fe309f841,2021-08-11 10:21:35,5,4,不必如此。如果真想和马化腾搭话并讨论这个问题，可以去食堂偶遇。现在就急着蹭热点，把聊天记录发出来属于低情商行为。：如果只是想获得公司高层重视，去食堂吃早餐和马化腾搭话就够了。组织好语言和内容，注意分寸，效果大概率会很不错。：如果是想自我炒作，等腾讯真的发布公告以后，再无意中不知道哪里的消息称，当初有一位实习生向公司建议过。当然，是一定不能通过办公聊天软件发送的，更不能出现上面的截图。非正式的方式还是偶遇，闲聊搭话；正式的方式可以发送邮件。
升值计,3ed7a191f00824aa5fa50d19343b00e9,2021-08-11 16:18:34,15,3,腾讯实习生质问刘炽平，教马化腾做事。说白了就是仨字：想红耳。他那种沟通的方式，根本不是给刘炽平和马化腾看的，是给大众看的，是为了做网红做准备的，当然刘总也是老江湖，说话滴水不漏，尤其那句，我们跟阿里还是很不一样的，水平不知道高到哪里去了。实际上，也正是他自己截图发了出去，当然刘炽平也知道他一定会截图，说话滴水不漏。那些满屏的惊叹号，是他有意为之，就是为了让大家看到他的情绪。他应该庆幸他遇到的是刘炽平、马化腾，假设他碰到任正非就个字：有病看病，没病滚蛋。当然，我不是说这个实习生不好，想红不对，想红非常对，据说提意见的实习生，是上市公司天力士的副总，搞营销的副总家的孩子，不可能不懂营销和沟通，所以这就是门里出身，这就是职业敏感，这就是家学渊源，反过来说，这也说明，自媒体和网红才是永远的朝阳产业，富二代和大厂员工，都是浮云，靠爹靠工作都是假的，靠自己才是真本事。这就是扯虎皮拉大旗，但是这波，被他装到了，装到了，就红了。女舞蹈演员和霍尊年的恋情，写得深情款款，让无数少女落泪，想起了自己的渣男前任。负心汉和痴情女的戏码，永远爆款，永远有人追。何况年的恋情和的经济付出。小助理咬牙切齿拿给我看，让我写一下。我看完轻蔑一笑，全是假的。这不是杜十娘怒砸百宝箱，这是逼宫上位罢了，当然逼宫没有什么不对，升值君旗帜鲜明地支持逼宫。这无非就是，明星和演员谈恋爱，睡也睡了，也上赶着花钱讨好未来公公婆婆了，但是老太后就是看不上眼，最后，黄了。黄了不能白黄，既然正宫当不成了，钱也不一定能要回来，谈恋爱的事，谈钱不好分，那不如趁机薅点流量吧，陈小姐今天开撕，号爆出来两人合照，同一天还在给解读都美竹吴亦凡的微博点赞，估计从都美竹爆红，得到不少启发。陈露那篇文案，背后也有高手，但是不够好，不过其优点在于借势和共鸣，把自己说成一个普通的小女生，字里行间没有明说，但是把霍尊描绘成一个一文不名的穷小子，这让很多普男普女产生共鸣。但是霍尊不是穷小子，霍尊的爹是火风啊，他是星二代。就算在年没有爆红以前，也有一条星光大道等着他，那时候跟他谈恋爱意味着能得到什么不是很清楚吗？众所周知，娱乐圈这个地方最势利了，年，霍尊出道就是《声动亚洲》三强，有没有背景，以后星路好不好走，不言自明。陈小姐在这前后贴上去，甘心情愿的花几百万，无他，想撬动杠杆罢了。什么等了一个男人年成长，终于等到男友买房子，牺牲了自己的全部事业，来为霍尊鞍前马后忙活，才有了这个男人的今天，简直笑掉大牙，我第一次看到有人想要乘电梯，结果说是自己把电梯扛上去的。所以，这是投资，用爱情、身体、钱财绑定一个亿万富翁的未来，如此而已，用老投资大师、杠杆专家吕不韦的话说，霍尊奇货可居。这不过就是一个正常的上嫁要吞针的案例罢了。陈露和霍尊，你知道升值君最大的感触是什么吗？我不关心他们的恋爱，给我最大的感触是两点：、霍尊一首《卷珠帘》买了京郊别墅；、陈露舞蹈中专年，就评到了副高。副高跟副教授同级，也就是陈露与周玄毅同级别，很荒谬，但是在国家序列眼里，就是这样，陈露周玄毅詹青云。如果把陈露作为计量单位：露周；如果按赚钱能力算，露不止周；而霍露都不止。明白了吗？你要按部就班，你要循规蹈矩，听妈妈的话，听老师的话，好好读书，最多就是一个副教授，再好点，教授，大多数人还评不到。这世界的真相就是，你听话，你懂事，你就死定了。听妈妈的话，听老师的话，就输了。皓首穷经，不是今天才发明的词儿，这才是人间的真实。所以，如果你想按部就班，循规蹈矩，那你就真的要接受平庸，你要花别人年，年的时间，走完别人年甚至年走完的路，这就是线性增长，但是这个世界你线性增长是不行的，你要爆发性增长。这个道理，我不是今天才明白的，我以前也是做题家，特别喜欢稳定，随遇而安，只想按部就班走完人生，看看书，健健身，但是后来发现不行，越走路越窄，世界上的人只会看那些爆发性增长的人，然后拿爆发性增长的人来对标你，衡量你，批判你，最后你一败涂地。所以我抛弃了原来的想法，去做变数多的事，去做别人没有做过的事，发现根本没有那么难，那些少有人走的路，竞争对手也少，红利也多。所以，去做风，去做火，去做野生的东西，不要做被驯养的人，不要做被驯养的东西。用我去年在年熵学院的年终演讲中说的，去做湍流，去做动荡不安的火焰。有时候在想，这个世界对穷人，非常非常地残忍，今天我在微博解读腾讯实习生的套路，有人上来骂我，骂得很难听，前几天，我说追求稳定的人，只会越来越不稳定，评论区怼我。我为什么经常把怼我的人评论发出来，并不是我喜欢受虐，因为的我是该死的天秤座，对公平有非常深的强迫症，看见不平就想拉平了。在金庸小说里，我最喜欢的一个人物，叫风波恶，不是因为多厉害，而是风波恶跟一个挑粪的乡下人过独木桥，明明身负上乘武功，宁愿被大粪泼脸上，也不用武功欺负乡下人。我对骂我的人并不愤怒仇恨，他们都是穷人，实际上，我怜悯他们，我怜悯他们，这个世界已经被瓜分殆尽了，他们还在沉迷于情绪带给他们的可怜的快感。这个世界，上一代富人还没有离开餐桌，他们的孩子已经系好餐巾，迫不及待的拿出刀叉，要分割他们的血肉了，他们还把自己的血肉捧上去说，来吃，就为了这些吸血鬼叮咬他们的时候，他们能获得一丁点儿的快感。穷富之间的一个差距就是，穷人不能分辨有效信息，而往往沉溺于情绪。有时候，不是升值君说话极端，是这个世界真的很残酷，我只想把真理告诉他们而已。孟子说，吾岂好辩也，吾不得已也。孟子的不得已，就是他也是天杀的天秤座。理性告诉他，世界就是属于诸侯、属于陈露、霍尊、腾讯实习生们的，但是，感性上，接受不了，或者说，审美上，接受不了。点击下方链接阅读全文逼宫霍尊和问话马化腾：女网红和腾讯实习生的野望
会教英语的HR表哥,9d038097ea8cf24e130746cc36cb2dfc,2021-08-11 15:20:06,0,0,乍一看这个消息，觉得有点小兴奋，一方面是对于现在的年轻人不按套路出牌，我行我素的尊重与敬佩；另一方面是身为如何借助一个个突发事件来推动企业文化的建设。首先，估计都知道现在的年轻人对于职场的态度和老一辈们完全不一样了，很多默契和潜规则在逐步交替。举个例子，以前父母辈的可能是一辈子一个厂子的情怀可以说已经不在。比较流行的是对领导的讨好和某些背地里小送礼的戏份还蛮多，职场上不做出头鸟似乎成了一种明哲保身的共识。而实际上就是需要这些年轻人或者初生牛犊不怕虎的小可爱们来打破一些固有规则的限制，毕竟明面上大家都是鼓励群策群力，领导信箱也是常年开设的嘛当然在提建议，特别是针对领导提建议的时候还是有蛮多讲究的，也有很多答主都一一分析了这其中的沟通辞令，标点符号和逻辑架构。大家都知道取经之后，斗战胜佛就不是那个齐天大圣了。所以小年轻掌握这些其实不大现实，而掌握了这些大体上也不是小年轻了。站在过来人的角度去分析和帮助后生晚辈固然是好，但首先要论迹不论心地肯定和鼓励这种行为。其次，关于企业文化的建设，这个本来就是很困惑的一种长期浸泡的行为。但是很多时候平日的工作不如一次事件中所展示出来的公司高层态度和行动。如果企业是提倡这种敢打抱不平，敢于发言的文化，就一定要作出实际行动和对应的鼓励表彰；如果企业需要严肃的等级概念和制度，那就要杀鸡儆猴，整肃风气。但我想互联网企业应该会更崇尚扁平化管理和平等开放。最后，出现任何事情，都有两面性。如何利用这一波热搜树立企业的正面形象和影响力，那就是另一个故事了。
魔术师帽的兔子,2a0d1be18dedf37ef6214cb786339eaa,2021-08-11 11:45:29,3,1,我就说一点。就光越级跟集团老大反映问题就足够让这个实习生走人了。并且提的建议和意见没什么实质操作性，说难听点，就是借着道德高地骚扰领导。不少人还为此叫好的也是搞笑。要是年轻人都这副德行，小马哥和一帮老总每天都不用工作了，光回这些无用信息，在我看来，截图里提的所谓倡议和建议，是个读过书的学生都能想得出来，有的还能比这更具有操作性和实用性，总而言之，主人公提的就是看着舒服的废话。还不如号召大家好好读书，加强自身道德修养。放大了看，政府部门，国企，社会组织，一系列有组织有集体的地方，都有这么一群人的话，就乱了。年轻人，处于什么位置，就干什么事情。有病看病，没病辞退。
Dr.北海,265a37ef85ef8fdb480f2526951a99e3,2021-08-11 10:39:22,2,0,务必回复口气真的有点大。。这情商低到令人发指。。
知乎用户,d2891b3c0a18f78b24a7eef840d2be1a,2021-08-11 10:48:30,0,2,腾讯招实习生的水平有待提高。即使中二时期的我也不会发这么多感叹号。当然，对于中二青年，还是要有一些容忍度，也许这位老哥业务能力还是不错的呢？（但我怀疑这种员工做内部沟通的时候会不会引起很多矛盾）
深海软泥怪,0bf8ab07dd7326a14983f3a346dd5920,2021-08-11 11:42:07,1,0,我倒是不太在乎腾讯高层的反应，这行为一眼完，人家就是来蹭蹭学学技术的，说不准拍拍屁股回去就和爹干。我就想问问那些和他一起联名的实习生，他们的境遇和尴尬怎么办。做人做到这样裹挟民意，祝愿他活成独夫。正人行邪法，邪法亦正，邪人行正法，正法亦邪。我不怕什么政治正确，我就要说，这样子呼唤起来的对女性职场的关注，这样一将功成万骨枯的关注，是值得抵制的耻辱。
匿名用户,0,2021-08-10 20:34:59,71,39,利益相关，腾讯员工，不想曝光私人信息，匿名回复。抛开截图外发这件事，单就事情本身而言，我觉得是好事。员工关注职场环境，勇于发声（虽然言辞欠妥，但出发点好）；作为大大大大大大老板，在面对最最最最最最最基层员工欠妥的语言表述时，依然能抓住实质问题，正面温和的回应了员工。这要是放其他公司老板，基本就是：有病就治，没病就辞退。作为员工，我觉得这样的老板不就是大家希望的那样吗？自己总有做错事说错话的时候，老板不劈头盖脸的骂你，而是正面温和的回复。我也感谢这位实习生，用自己的有点中二的方式发声，帮助我们建立更好的职场环境。顺便打波广告，我们腾讯内部沟通渠道还是相对顺畅的，整体工作氛围还是不错的，欢迎大家来投简历啊
维权售后是笑话,dacaa690bc6a5daae0da680be122de82,2021-08-11 17:26:21,7,1,这样的刺头多一点会不会让这些庞然大物不在那么肆无忌惮不管他是否为了炒作，至少目的和话题还是让大家有了抵制陋习的想法
